                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.8175,                  3.769,                 3.3025,                 3.9306,                 4.0439,                 2.6878,                0.00432,                0.07944,                0.00482,                 0.0013,                 3.7114,                 3.7298,                 3.1507,                 3.8388,                 3.7574,                 2.6283,               0.006733,               0.006733,               0.006733
                     36,                 3.7057,                 3.7102,                 3.2452,                 3.8695,                 4.0175,                 2.7053,                0.00204,                0.04807,                0.00237,                0.00071,                  3.963,                 4.2096,                 3.1334,                 4.1443,                 4.6795,                  2.782,               0.006634,               0.006634,               0.006634
                     37,                 3.7052,                  3.654,                  3.171,                 3.7656,                 3.9724,                 2.6172,                0.00187,                0.04345,                0.00184,                0.00048,                 3.9274,                  4.218,                 3.1481,                 4.1613,                 4.9899,                 2.8011,               0.006535,               0.006535,               0.006535
                     38,                 3.7543,                 3.7158,                 3.0677,                 3.7892,                 3.9402,                 2.5729,                0.00194,                0.04858,                0.00159,                 0.0004,                 3.8803,                  4.104,                 3.0813,                 4.0708,                 4.5806,                 2.7366,               0.006436,               0.006436,               0.006436
                     39,                 3.5527,                 3.6145,                  3.133,                 3.6855,                 3.8686,                 2.5927,                0.00158,                0.02285,                0.00092,                0.00019,                 4.2242,                 11.127,                 3.2698,                 4.2537,                 10.298,                 2.6979,               0.006337,               0.006337,               0.006337
                     40,                 3.5821,                 3.5995,                 3.1025,                 3.6782,                 3.8939,                 2.5625,                0.00153,                 0.0287,                0.00091,                0.00016,                 4.3618,                 14.094,                 3.2329,                  4.212,                 9.5518,                 2.7391,               0.006238,               0.006238,               0.006238
                     41,                 3.5838,                 3.7337,                 3.0247,                 3.6663,                 3.8633,                 2.4115,                0.00503,                0.07522,                0.00742,                0.00178,                 3.4866,                 3.7213,                 2.9068,                 3.5048,                  3.766,                 2.3404,               0.006139,               0.006139,               0.006139
                     42,                 3.4672,                 3.5505,                 2.9977,                 3.6204,                 3.8052,                 2.4539,                0.00232,                0.04918,                0.00164,                0.00036,                 3.8075,                 4.2116,                 2.8503,                 3.8451,                  4.807,                 2.3958,                0.00604,                0.00604,                0.00604
                     43,                 3.5451,                 3.4762,                  2.944,                 3.6302,                 3.7098,                 2.4168,                0.00972,                0.03347,                0.00494,                0.00112,                 3.5334,                 4.1337,                 2.7177,                 3.4791,                 4.2795,                 2.2377,               0.005941,               0.005941,               0.005941
                     44,                 3.4509,                 3.4916,                 2.9533,                  3.506,                 3.7258,                 2.4242,                 0.0096,                0.10223,                0.00893,                0.00214,                 3.3905,                 3.4145,                 2.6774,                  3.291,                 3.5538,                 2.1569,               0.005842,               0.005842,               0.005842
                     45,                 3.4228,                 3.4043,                 2.8884,                 3.4673,                 3.6216,                 2.3589,                0.11486,                0.06165,                0.00843,                0.00211,                  3.402,                 3.5374,                 2.6435,                 3.2751,                 3.6353,                  2.102,               0.005743,               0.005743,               0.005743
                     46,                  3.424,                 3.4745,                 2.8144,                 3.4995,                 3.6797,                 2.2668,                0.12129,                0.07635,                0.01149,                0.00273,                 3.3291,                 3.3177,                 2.6448,                  3.358,                 3.4802,                 2.1462,               0.005644,               0.005644,               0.005644
